model,accuracy,macro_f1,val_acc
early_fusion,0.8571428571428571,0.8557183557183556,0.918918918918919
depth,0.8163265306122449,0.820013677985814,0.8918918918918919
hybrid_fusion,0.7959183673469388,0.7923350041771094,0.8648648648648649
rawimg,0.7142857142857143,0.7144736842105264,0.7567567567567568
late_fusion,0.6938775510204082,0.6815924437407813,0.8378378378378378
deformation,0.673469387755102,0.6606500224921278,0.7837837837837838
shear,0.4489795918367347,0.450936100936101,0.5945945945945946
