model,accuracy,macro_f1,val_acc
early_fusion,0.8367346938775511,0.8358074673864148,0.8918918918918919
hybrid_fusion,0.8163265306122449,0.8082788671023966,0.8108108108108109
rawimg,0.7346938775510204,0.7242919389978213,0.7837837837837838
late_fusion,0.6938775510204082,0.6756560203928625,0.8648648648648649
depth,0.6530612244897959,0.6569327731092437,0.8108108108108109
deformation,0.6326530612244898,0.6281653129479216,0.7027027027027027
shear,0.46938775510204084,0.47098272098272104,0.5675675675675675
