model,accuracy,macro_f1,val_acc
late_fusion,0.96,0.9607843137254902,0.8947368421052632
early_fusion,0.88,0.8783068783068783,0.9473684210526315
hybrid_fusion,0.88,0.880141530296329,1.0
rawimg,0.84,0.8334083070925177,0.9473684210526315
deformation,0.84,0.8334083070925177,0.7894736842105263
depth,0.8,0.8056644880174292,0.9473684210526315
shear,0.68,0.6606687659319238,0.6842105263157895
