model,accuracy,macro_f1,val_acc
early_fusion,0.8367346938775511,0.8358074673864148,0.8918918918918919
hybrid_fusion,0.8367346938775511,0.836628540305011,0.8378378378378378
late_fusion,0.7346938775510204,0.7207411912133274,0.8378378378378378
rawimg,0.6938775510204082,0.6868741280505986,0.7837837837837838
depth,0.6938775510204082,0.6971593765711414,0.8378378378378378
deformation,0.6326530612244898,0.6281653129479216,0.7027027027027027
shear,0.46938775510204084,0.47098272098272104,0.5945945945945946
